Customer_ID,product_names,price_as_$,purchase_Date,quantity,availability,rating,reviews_sum,total_spent,product_category,purchase_timestamp
C003,"Samsung Galaxy Tab A9+ Tablet 11” 64GB Android Tablet, Big Screen, Quad Speakers, Upgraded Chipset, Multi Window Display, Slim, Light,",149.0032,2024-11-22,10,In Stock,4.5 out of 5,7369,1490.032,Samsung,1732233600.0
C004,"COOPERS Tablet 10 inch, Android 14 Tablet, 32GB ROM 1TB Expand Computer Tablets, Quad Core Processor 6000mAh Battery, 1280x800 IPS",53.99,2024-02-10,2,In Stock,3.7 out of 5,4893,107.98,COOPERS,1707523200.0
C005,"Tablet,10.1"" Android Tablet with Octa",89.9931,2024-10-10,5,In Stock,4.4 out of 5,643,449.9655,"Tablet,10.1""",1728518400.0
C006,"10 inch Tablet Android 13 Tablets, 6GB RAM 64GB ROM 512GB Expand, Quad",52.99,2024-11-04,2,In Stock,3.6 out of 5,1932,105.98,10,1730678400.0
C010,"Samsung Galaxy Tab S6 Lite 10.4' 64GB WiFi Android Tablet, S Pen Included, Gaming Ready, Long Battery Life, Slim Metal",199.9926,2024-08-25,6,In Stock,4.5 out of 5,1050,1199.9556,Samsung,1724544000.0
C011,"BYYBUO SmartPad A10_L Tablet 10.1 inch Android 13 Tablets, 4GB RAM 64GB ROM Quad",54.9521,2024-05-12,2,In Stock,3.8 out of 5,2125,109.9042,BYYBUO,1715472000.0
C019,"Latest 2024 Android 13 Tablet, 128GB+16GB/512GB Expandable, Octa",199.99,2024-07-15,3,In Stock,4.3 out of 5,1340,599.97,Latest,1721001600.0
C021,Lenovo Tab M9,126.0016,2024-10-14,1,In Stock,4.3 out of 5,1077,126.0016,Lenovo,1728864000.0
C024,"Turtle Beach Stealth 600 Gen 3 Wireless Multiplatform Amplified Gaming Headset for Xbox Series X|S, Xbox One, PC, PS5, PS4,",84.99,2024-09-06,20,In Stock,4.0 out of 5 stars,771,1699.8,Turtle,1725580800.0
C025,"Kavaas Gamer Neon Sign, Game Controller Neon Sign for Gamer Room Decor",26.99,2024-07-12,10,In Stock,4.7 out of 5 stars,3081,269.9,Kavaas,1720742400.0
